KIRKWALL, SCOTLAND:58.9581:W2.905
SUMBURGH, UK:59.8789:W1.29556
WICK, UK:58.4586:W3.09278
ABERDEEN, UK:57.145278438534575:W2.1125505583496174:185
INVERNESS, UK:57.4790124:W4.225739:20
GLASGOW, UK:55.8609825:W4.2488787:368
EDINBURGH, UK:55.945672242712185:W3.1995328895019592:125
ISLAY, UK:55.6819:W6.25667
PRESTWICK, UK:55.5078:W4.58667:20
DUNDEE, UK:56.47786741082439:W2.9823779577636778:60
STORNOWAY, UK:58.2141245782211:W6.379953784594727:3
CAMBRIDGE, ENGLAND:52.205:0.175:42
PETERBOROUGH, ENGLAND:52.5725769:W0.2427336:44
NORWICH, ENGLAND:52.628606:1.29227:52
EXETER, ENGLAND:50.7344:W3.41389:28
HATFIELD, ENGLAND:51.7667:0.25:9
OXFORD, ENGLAND:51.7520131:W1.2578499:37
BENSON, ENGLAND:51.6161:W1.09556:9
MILDENHALL, ENGLAND:52.3608:0.488333:36
CONINGSBY, ENGLAND:53.0928:W0.165833:14
WITTERING, UK:52.6125:W0.476389:13
COLTISHALL, ENGLAND:52.7547:1.35722:7
AMSTERDAM, NETHERLANDS:52.3086:4.76389:219
WEERT, NETHERLANDS:51.2553:5.60139:105
MAASTRICHT, NETHERLANDS:50.9114:5.77:60
EINDHOVEN, NETHERLANDS:51.45:5.37444:88
GRONINGEN, NETHERLANDS:53.1194:6.57944:83
GILZE-RIJEN, NETHERLANDS:51.5678:4.93306:65
LEEUWARDEN, NETHERLANDS:53.2286:5.76056:255
ROTTERDAM, NETHERLANDS:51.9572:4.44167:324
ENSCHEDE, NETHERLANDS:52.27:6.87417:142
VALKENBURG, NETHERLANDS:52.1697:4.42611:36
